,Unnamed: 0,Title,Author,Publication_Year,Link,Abstract,Repository,Topic_Category,Year,Country(s)
146,146,Generalisability of fetal ultrasound deep learning models to low-resource imaging settings in five African countries,"Carla Sendra-Balcells, Víctor M. Campello, Jordina Torrents-Barrena, Yahya Ali Ahmed, Mustafa Elattar, Benard Ohene Botwe, Pempho Nyangulu, William Stones, Mohammed Ammar, Lamya Nawal Benamer, Harriet Nalubega Kisembo, Senai Goitom Sereke, Sikolia Z. Wanyonyi, Marleen Temmerman, Eduard Gratacós, Elisenda Bonet, Elisenda Eixarch, Kamil Mikolaj, Martin Grønnebæk Tolsgaard, Karim Lekadir",2022-09-20,http://arxiv.org/pdf/2209.09610v2,"Most artificial intelligence (AI) research have concentrated in high-income
countries, where imaging data, IT infrastructures and clinical expertise are
plentiful. However, slower progress has been made in limited-resource
environments where medical imaging is needed. For example, in Sub-Saharan
Africa the rate of perinatal mortality is very high due to limited access to
antenatal screening. In these countries, AI models could be implemented to help
clinicians acquire fetal ultrasound planes for diagnosis of fetal
abnormalities. So far, deep learning models have been proposed to identify
standard fetal planes, but there is no evidence of their ability to generalise
in centres with limited access to high-end ultrasound equipment and data. This
work investigates different strategies to reduce the domain-shift effect for a
fetal plane classification model trained on a high-resource clinical centre and
transferred to a new low-resource centre. To that end, a classifier trained
with 1,792 patients from Spain is first evaluated on a new centre in Denmark in
optimal conditions with 1,008 patients and is later optimised to reach the same
performance in five African centres (Egypt, Algeria, Uganda, Ghana and Malawi)
with 25 patients each. The results show that a transfer learning approach can
be a solution to integrate small-size African samples with existing large-scale
databases in developed countries. In particular, the model can be re-aligned
and optimised to boost the performance on African populations by increasing the
recall to $0.92\pm0.04$ and at the same time maintaining a high precision
across centres. This framework shows promise for building new AI models
generalisable across clinical centres with limited data acquired in challenging
and heterogeneous conditions and calls for further research to develop new
solutions for usability of AI in countries with less resources.",arxiv,Medical Imaging,2022,"Spain, Denmark, Egypt, Algeria, Uganda, Ghana, Malawi"
147,147,Predicting Higher Education Throughput in South Africa Using a Tree-Based Ensemble Technique,"Rendani Mbuvha, Patience Zondo, Aluwani Mauda, Tshilidzi Marwala",2021-06-12,http://arxiv.org/pdf/2106.06805v1,"We use gradient boosting machines and logistic regression to predict academic
throughput at a South African university. The results highlight the significant
influence of socio-economic factors and field of study as predictors of
throughput. We further find that socio-economic factors become less of a
predictor relative to the field of study as the time to completion increases.
We provide recommendations on interventions to counteract the identified
effects, which include academic, psychosocial and financial support.",arxiv,Education Research,2021,South Africa
148,148,Wide binary stars with non-coeval components,"Oleg Malkov, Alexei Kniazev",2022-08-09,http://arxiv.org/pdf/2208.04899v1,"We have estimated masses of components of visual binaries from their spectral
classification. We have selected pairs, where the less massive component looks
more evolved. Spectral observations of some of such pairs were made, and at
least one pair, HD~156331, was confirmed to have components of different age.
Since mass exchange is excluded in wide binaries, it means that HD~156331 can
be formed by the capture.",arxiv,Astrophysics,2022,No country is mentioned in the abstract.
149,149,Spectral Variability Signatures of Relativistic Shocks in Blazars,"Markus Boettcher, Matthew G. Baring",2019-03-29,http://arxiv.org/pdf/1903.12381v1,"Mildly relativistic, oblique shocks are frequently invoked as possible sites
of relativistic particle acceleration and production of strongly variable,
polarized multi-wavelength emission from relativistic jet sources such as
blazars, via diffusive shock acceleration (DSA). In recent work, we had
self-consistently coupled DSA and radiation transfer simulations in blazar
jets. These one-zone models determined that the observed spectral energy
distributions (SEDs) of blazars strongly constrain the nature of the
hydromagnetic turbulence responsible for pitch-angle scattering. In this paper,
we expand our previous work by including full time dependence and treating two
emission zones, one being the site of acceleration. This modeling is applied to
a multiwavelength flare of the flat spectrum radio quasar 3C~279, fitting
snap-shot SEDs and light curves. We predict spectral hysteresis patterns in
various energy bands as well as cross-band time lags with optical and GeV
gamma-rays as well as radio and X-rays tracing each other closely with zero
time lag, but radio and X-rays lagging behind the optical and gamma-ray
variability by several hours.",arxiv,Astrophysics,2019,No country is mentioned in the abstract.
150,150,Correction method applied to MC simulated LST images affected by clouds,"Natalia Żywucka, Julian Sitarek, Dorota Sobczyńska, Mario Pecimotika, Dario Hrupec, Dijana Dominis Prester, Lovro Pavletić, Saša Mićanović",2024-02-28,http://arxiv.org/pdf/2402.18416v1,"We present the results of a preliminary study of a correction method applied
to the Imaging Atmospheric Cherenkov Telescope images affected by clouds. The
studied data are Monte Carlo simulations made with CORSIKA, imitating the very
high energy events registered by the Large-Sized Telescopes, a type of
telescope within the future Cherenkov Telescope Array. We implement the cloud
correction method in the ctapipe/lstchain analysis framework. The correction is
based on a simple geometrical model of the emission. We show the effect of the
correction method on the image parameters and the stereo-reconstructed shower
parameters.",arxiv,Atmospheric Science,2024,No country is mentioned in the abstract.
151,151,Performance Evaluation of a Deployed 4G LTE Network,"E. T. Tchao, J. D. Gadze, J. O. Agyapong",2018-04-02,http://arxiv.org/pdf/1804.05771v1,"In Ghana and many countries within Sub-Sahara Africa, Long Term Evolution
(LTE) is being considered for use within the sectors of Governance, Energy
distribution and transmission, Transport, Education and Health. Subscribers and
Governments within the region have high expectations for these new networks and
want to leverage the promised enhanced coverage and high data rates for
development. Recent performance evaluations of deployed WiMAX networks in Ghana
showed promising performance of a wireless broadband technology in supporting
the capacity demands needed in the peculiar Sub-Saharan African terrain. The
deployed WiMAX networks, however could not achieve the optimal quality of
service required for providing a seamless wireless connectivity demands needed
for emerging mobile applications. This paper evaluates the performance of some
selected key network parameters of a newly deployed LTE network in the 2600 MHz
band operating in the peculiar Sub-Saharan African terrain under varied MIMO
Antenna Configurations. We adopted simulation and field measurement to aid us
in our evaluation. Genex Unet has been used to simulate network coverage and
throughput performance of 2X2, 4X4 and 8X8 MIMO configurations of the deployed
networks. The average simulated throughput per sector of 4X4 MIMO configuration
was seen to be better than the 2X2 configuration. However, the percentage
coverage for users under the 2x2 MIMO simulation scenario was better than that
of the adaptive 4x4 MIMO configuration with 2x2 MIMO achieving 60.41% of
coverage area having throughput values between 1 - 40Mbps as against 55.87%
achieved by the 4x4 MIMO configuration in the peculiar deployment terrain.",arxiv,Telecommunications,2018,Ghana
152,152,The Nainital-Cape Survey-IV,"Santosh Joshi, P. Martinez, Sowgata Chowdhury, N. K. Chakradhari, Y. C. Joshi, P. van Heerden, T. Medupe, Yerra Bharat Kumar, R. B. Kuhn",2016-03-11,http://arxiv.org/pdf/1603.03517v1,"The Nainital-Cape survey is a dedicated ongoing survey programme to search
for and study pulsational variability in chemically peculiar (CP) stars to
understand their internal structure and evolution. The main aims of this survey
are to find new pulsating Ap and Am stars in the northern and southern
hemisphere and to perform asteroseismic studies of these new pulsators. The
survey is conducted using high-speed photometry. The candidate stars were
selected on the basis of having Stromgren photometric indices similar to those
of known pulsating CP stars. Over the last decade a total of 337 candidate
pulsating CP stars were observed for the Nainital-Cape survey, making it one of
the longest ground-based surveys for pulsation in CP stars in terms of time
span and sample size. The previous papers of this series presented seven new
pulsating variables and 229 null results. In this paper we present the light
curves, frequency spectra and the various astrophysical parameters of the 108
additional CP stars observed since the last reported results. We have also
tabulated the basic physical parameters of the known roAp stars. As part of
establishing the detection limits in the Nainital-Cape survey, we investigated
the scintillation noise level at the two observing sites used in this survey,
Sutherland and Nainital, by comparing the combined frequency spectra stars
observed from each location. Our analysis shows that both the sites permit the
detection of variations on the order of 0.6 milli-magnitude (mmag) in the
frequency range 1-4 mHz, with Sutherland being marginally better, on average.",arxiv,Astronomy,2016,South Africa
153,153,The detection of radio emission from known X-ray flaring star EXO 040830-7134.7,"L. N. Driessen, D. R. A. Williams, I. McDonald, B. W. Stappers, D. A. H. Buckley, R. P. Fender, P. A. Woudt",2021-11-26,http://arxiv.org/pdf/2111.13283v1,"We report the detection of radio emission from the known X-ray flaring star
EXO 040830$-$7134.7 during MeerKAT observations of the nearby cataclysmic
variable VW Hydri. We have three epochs of MeerKAT observations, where the star
is not detected in the first epoch, is detected in the second epoch, and is
marginally detected in the third epoch. We cannot distinguish whether the
detection is quiescent emission or a transient radio burst. If we assume the
radio detection is quiescent emission the source lies somewhat to the right of
the G\""udel-Benz relation; however, if we assume the upper-limit on the radio
non-detection is indicative of the quiescent emission then the source lies
directly on the relation. Both cases are broadly consistent with the relation.
We use archival spectral energy distribution data and new SALT high-resolution
spectroscopy to confirm that EXO 040830$-$7134.7 is a chromospherically active
M-dwarf with a temperature of 4000$\pm$200 K of spectral type M0V. We use ASAS,
ASAS-SN and TESS optical photometry to derive an improved rotational period of
5.18$\pm$0.04 days. This is the first radio detection of the source, and the
first MeerKAT detection of an M-dwarf.",arxiv,Astrophysics,2021,South Africa
154,154,A Global Tropical Survey of Mid-Tropospheric Cyclones,"Pradeep Kushwaha, Jai Sukhatme, Ravi S. Nanjundiah",2020-11-27,http://arxiv.org/pdf/2011.13972v1,"Mid-Tropospheric Cyclones (MTCs) are moist synoptic systems with distinct mid
tropospheric vorticity maxima and weak signatures in the lower troposphere.
Composites and statistics of MTCs over the tropics are constructed and compared
with monsoon lows and depressions (together, lower troposphere cyclones; LTCs).
We begin with South Asia, where tracking reveals that MTCs change character
during their life, i.e., their track is composed of MTC and LTC phases. The
highest MTC-phase density and least motion is over the Arabian Sea, followed by
the Bay of Bengal and South China Sea. A MTC-phase composite shows an east-west
tilted warm above deep cold-core temperature anomaly with maximum vorticity at
600 hPa. While the LTC-phase shows a shallow cold-core below 800 hPa and a warm
upright temperature anomaly with lower tropospheric vorticity maximum. Apart
from South Asia, systems with similar morphology are observed over the west and
central Africa, east and west Pacific in boreal summer. In boreal winter,
regions that support MTCs include northern Australia, the southern Indian
Ocean, and South Africa. Relatively, the MTC fraction is higher equatorward,
where there is a cross-equatorial low-level jet that advects oppositely signed
vorticity. Whereas the LTCs are more prevalent further poleward. Finally, a
histogram of differential vorticity (difference between middle and lower
levels) versus the height of peak vorticity for cyclonic centers is bimodal.
One peak, around 600 hPa, corresponds to MTCs while the second, around 900 hPa,
comes from LTCs. Thus, moist cyclonic systems in the tropics have a natural
tendency to reside in either the MTC or LTC category preferentially",arxiv,Meteorology,2020,"South Africa, Australia"
155,155,A three-year comparative study of dominant misconceptions among first-year physics students at a South African university,"Anna Chrysostomou, Alan S. Cornell, Wade Naylor",2023-11-03,http://arxiv.org/pdf/2311.01844v1,"This article discusses a three-year study (2020 - 2022) of dominant
misconceptions (DMs) for a large cohort of first-year physics course students
at the University of Johannesburg (UJ), South Africa. Our study considered
pre-test scores on the Force Concept Inventory using a graphical method, where
we found statistical differences between the mean DM scores for the 2020
cohort, as compared to the 2021 and 2022 cohort; possibly due to the onset of
COVID lockdowns. We also compared our data from South Africa with cohorts based
in Spain and the Kingdom of Saudi Arabia, where the method of DMs was also
applied. From this comparison, we found some differences in the preconception
knowledge of the cohorts. Furthermore, we included an analysis of DMs through
the `gender lens' for the South African cohort, finding no statistically
significant difference between the means for DM scores of students who identify
as male or female. Finally, given the diverse language backgrounds and levels
of matriculation preparation for university level physics courses, we have also
shown how quickly responding to student misconceptions can be efficiently
addressed using the method of DMs.",arxiv,Education,2023,"South Africa, Spain, Kingdom of Saudi Arabia"
156,156,Algorithmic Behaviors Across Regions: A Geolocation Audit of YouTube Search for COVID-19 Misinformation Between the United States and South Africa,"Hayoung Jung, Prerna Juneja, Tanushree Mitra",2024-09-16,http://arxiv.org/pdf/2409.10168v2,"Despite being an integral tool for finding health-related information online,
YouTube has faced criticism for disseminating COVID-19 misinformation globally
to its users. Yet, prior audit studies have predominantly investigated YouTube
within the Global North contexts, often overlooking the Global South. To
address this gap, we conducted a comprehensive 10-day geolocation-based audit
on YouTube to compare the prevalence of COVID-19 misinformation in search
results between the United States (US) and South Africa (SA), the countries
heavily affected by the pandemic in the Global North and the Global South,
respectively. For each country, we selected 3 geolocations and placed
sock-puppets, or bots emulating ""real"" users, that collected search results for
48 search queries sorted by 4 search filters for 10 days, yielding a dataset of
915K results. We found that 31.55% of the top-10 search results contained
COVID-19 misinformation. Among the top-10 search results, bots in SA faced
significantly more misinformative search results than their US counterparts.
Overall, our study highlights the contrasting algorithmic behaviors of YouTube
search between two countries, underscoring the need for the platform to
regulate algorithmic behavior consistently across different regions of the
Globe.",arxiv,Computer Science,2024,"United States, South Africa"
157,157,Deep Transfer Learning on Satellite Imagery Improves Air Quality Estimates in Developing Nations,"Nishant Yadav, Meytar Sorek-Hamer, Michael Von Pohle, Ata Akbari Asanjan, Adwait Sahasrabhojanee, Esra Suel, Raphael Arku, Violet Lingenfelter, Michael Brauer, Majid Ezzati, Nikunj Oza, Auroop R. Ganguly",2022-02-17,http://arxiv.org/pdf/2202.08890v1,"Urban air pollution is a public health challenge in low- and middle-income
countries (LMICs). However, LMICs lack adequate air quality (AQ) monitoring
infrastructure. A persistent challenge has been our inability to estimate AQ
accurately in LMIC cities, which hinders emergency preparedness and risk
mitigation. Deep learning-based models that map satellite imagery to AQ can be
built for high-income countries (HICs) with adequate ground data. Here we
demonstrate that a scalable approach that adapts deep transfer learning on
satellite imagery for AQ can extract meaningful estimates and insights in LMIC
cities based on spatiotemporal patterns learned in HIC cities. The approach is
demonstrated for Accra in Ghana, Africa, with AQ patterns learned from two US
cities, specifically Los Angeles and New York.",arxiv,Environmental Science,2022,"Ghana, United States"
158,158,Assessment of Atomic and Molecular Physics in Africa,"Stephane Kenmoe, Obinna Abah",2022-10-29,http://arxiv.org/pdf/2210.16538v1,"We present the status of the research in the field of atomic and molecular
physics in Africa as well as some challenges hindering the efforts being made
by the African scientists. We further report the discussions and progress of
the African Strategy for Fundamental and Applied Physics (ASFAP) working group
on Atomic and Molecular physics with the view of providing the continent
research direction for next decade.",arxiv,Physics,2022,Africa
159,159,Beyond Contact Tracing: Community-Based Early Detection for Ebola Response,"Vincent Wong, Daniel Cooney, Yaneer Bar-Yam",2015-05-26,http://arxiv.org/pdf/1505.07020v2,"The 2014 Ebola outbreak in west Africa raised many questions about the
control of infectious disease in an increasingly connected global society.
Limited availability of contact information made contact tracing difficult or
impractical in combating the outbreak. We consider the development of
multi-scale public health strategies and simulate policies for community-level
response aimed at early screening of communities rather than individuals, as
well as travel restrictions to prevent community cross-contamination. Our
analysis shows the policies to be effective even at a relatively low level of
compliance. In our simulations, 40% of individuals conforming to these policies
is enough to stop the outbreak. Simulations with a 50% compliance rate are
consistent with the case counts in Liberia during the period of rapid decline
after mid September, 2014. We also find the travel restriction to be effective
at reducing the risks associated with compliance substantially below the 40%
level, shortening the outbreak and enabling efforts to be focused on affected
areas. Our results suggest that the multi-scale approach can be used to further
evolve public health strategy for defeating emerging epidemics.",arxiv,Public Health,2015,Liberia
160,160,Stochasticity and the limits to confidence when estimating R_0 of Ebola and other emerging infectious diseases,"Bradford P Taylor, Jonathan Dushoff, Joshua S Weitz",2016-01-21,http://arxiv.org/pdf/1601.06829v1,"Dynamic models - often deterministic in nature - were used to estimate the
basic reproductive number, R_0, of the 2014-5 Ebola virus disease (EVD)
epidemic outbreak in West Africa. Estimates of R_0 were then used to project
the likelihood for large outbreak sizes, e.g., exceeding hundreds of thousands
of cases. Yet fitting deterministic models can lead to over-confidence in the
confidence intervals of the fitted R_0, and, in turn, the type and scope of
necessary interventions. In this manuscript we propose a hybrid
stochastic-deterministic method to estimate R_0 and associated confidence
intervals (CIs). The core idea is that stochastic realizations of an underlying
deterministic model can be used to evaluate the compatibility of candidate
values of R_0 with observed epidemic curves. The compatibility is based on
comparing the distribution of expected epidemic growth rates with the observed
epidemic growth rate given ""process noise"", i.e., arising due to stochastic
transmission, recovery and death events. By applying our method to reported EVD
case counts from Guinea, Liberia and Sierra Leone, we show that prior estimates
of R_0 based on deterministic fits appear to be more confident than analysis of
stochastic trajectories suggests should be possible. Moving forward, we
recommend including a hybrid stochastic-deterministic fitting procedure when
quantifying the full R_0 CI at the onset of an epidemic due to multiple sources
of noise.",arxiv,Epidemiology,2016,"Guinea, Liberia, Sierra Leone"
161,161,Changing Burial Practices Explain Temporal Trends in the 2014 Ebola Outbreak,"Michael A. L. Hayashi, Marisa C. Eisenberg",2017-09-20,http://arxiv.org/pdf/1709.07319v1,"Background: The 2014 Ebola outbreak in West Africa was the largest on record,
resulting in over 25,000 total infections and 15,000 total deaths. Mathematical
modeling can be used to investigate the mechanisms driving transmission during
this outbreak -- in particular, burial practices appear to have been major
source of infections. Methodology/Principal Findings: We developed a
multi-stage model of Ebola virus transmission linked to a game-theoretic model
of population burial practice selection. We fit our model to cumulative
incidence and mortality data from Guinea, Liberia, and Sierra Leone from
January 2014 to March, 2016. The inclusion of behavior change substantially
improved best fit estimates and final size prediction compared to a reduced
model with fixed burials. Best fit trajectories suggest that the majority of
sanitary burial adoption occurred between July, 2014 and October, 2014.
However, these simulations also indicated that continued sanitary burial
practices waned following the resolution of the outbreak.
Conclusions/Significance: Surveillance data from the 2014 outbreak appears to
have a signal of changes in the dominant burial practices in all three
countries. Increased adoption of sanitary burials likely attenuated
transmission, but these changes occurred too late to prevent the explosive
growth of the outbreak during its early phase. For future outbreaks, explicitly
modeling behavior change and collecting data on transmission-related behaviors
may improve intervention planning and outbreak response.",arxiv,Epidemiology,2017,"Guinea, Liberia, Sierra Leone"
162,162,A Multi-Stage Stochastic Programming Approach to Epidemic Resource Allocation with Equity Considerations,"Xuecheng Yin, I. Esra Buyuktahtakin",2021-02-23,http://arxiv.org/pdf/2102.11814v1,"Existing compartmental models in epidemiology are limited in terms of
optimizing the resource allocation to control an epidemic outbreak under
disease growth uncertainty. In this study, we address this core limitation by
presenting a multi-stage stochastic programming compartmental model, which
integrates the uncertain disease progression and resource allocation to control
an infectious disease outbreak. The proposed multi-stage stochastic program
involves various disease growth scenarios and optimizes the distribution of
treatment centers and resources while minimizing the total expected number of
new infections and funerals. We define two new equity metrics, namely infection
and capacity equity, and explicitly consider equity for allocating treatment
funds and facilities over multiple time stages. We also study the multi-stage
value of the stochastic solution (VSS), which demonstrates the superiority of
the proposed stochastic programming model over its deterministic counterpart.
We apply the proposed formulation to control the Ebola Virus Disease (EVD) in
Guinea, Sierra Leone, and Liberia of West Africa to determine the optimal and
fair resource-allocation strategies. Our model balances the proportion of
infections over all regions, even without including the infection equity or
prevalence equity constraints. Model results also show that allocating
treatment resources proportional to population is sub-optimal, and enforcing
such a resource allocation policy might adversely impact the total number of
infections and deaths, and thus resulting in a high cost that we have to pay
for the fairness. Our multi-stage stochastic epidemic-logistics model is
practical and can be adapted to control other infectious diseases in
meta-populations and dynamically evolving situations.",arxiv,Operations Research,2021,"Guinea, Sierra Leone, Liberia"
163,163,Extragalactic Background Light: Inventory of light throughout the cosmic history,"Kalevi Mattila, Petri Väisänen",2019-05-21,http://arxiv.org/pdf/1905.08825v1,"The Extragalactic Background Light (EBL) stands for the mean surface
brightness of the sky as we would see it from a representative vantage point in
the intergalactic space outside of our Milky Way Galaxy. Averaged over the
whole 4 pi solid angle it represents the collective light from all luminous
matter radiated throughout the cosmic history. Part of the EBL is resolved into
galaxies that, with the increasing detecting power of giant telescopes and
sensitive detectors, are seen to deeper and deeper limiting magnitudes. This
resolved part is now known to contribute a substantial or even the major part
of the EBL. There still remains, however, the challenge of finding out to what
extent galaxies too faint or too diffuse to be discerned individually,
individual stars or emission by gas outside the galaxies, or more
speculatively, some hitherto unknown light sources such as decaying elementary
particles are accounting for the remaining EBL. We review the recent progress
that has been made in the measurement of EBL. The current photometric results
suggest that there is, beyond the resolved galaxies, an EBL component that
cannot be explained by diffuse galaxy halos or intergalactic stars.",arxiv,Astrophysics,2019,No country is mentioned in the abstract.
164,164,Lyman-αabsorption beyond the disk of simulated spiral galaxies,"Bernhard Röttgers, Thorsten Naab, Miha Cernetic, Romeel Davé, Guinevere Kauffmann, Sanchayeeta Borthakur, Horst Foidl",2020-05-18,http://arxiv.org/pdf/2005.08580v1,"We present an analysis of the origin and properties of the circum-galactic
medium (CGM) in a suite of 11 cosmological zoom simulations resembling present
day spiral galaxies. On average the galaxies retain about 50\% of the cosmic
fraction in baryons, almost equally divided into disc (interstellar medium)
gas, cool CGM gas and warm-hot CGM gas. At radii smaller than 50 kpc the CGM is
dominated by recycled warm-hot gas injected from the central galaxy, while at
larger radii it is dominated by cool gas accreted onto the halo. The recycled
gas typically accounts for one-third of the CGM mass. We introduce the novel
publicly available analysis tool \textsc{pygad} to compute ion abundances and
mock absorption spectra. For Lyman-${\alpha}$ absorption we find good agreement
of the simulated equivalent width (EW) distribution and observations out to
large radii. Disc galaxies with quiescent assembly histories show significantly
more absorption along the disc major axis. By comparing the EW and HI column
densities we find that CGM Lyman-${\alpha}$ absorbers are best represented by
an effective line-width $b\approx 50 - 70$ km s$^{-1}$ that increases mildly
with halo mass, larger than typically assumed.",arxiv,Astrophysics,2020,No country is mentioned in the abstract.
165,165,Long-period eclipsing binaries: towards the true mass-luminosity relation. II. Absolute parameters of the NN Del system,Alexei Kniazev,2020-10-12,http://arxiv.org/pdf/2010.05551v1,"We present results of our study of the long-period eclipsing binary star NN
Delphini (hereafter NN Del). The results are based on spectral data obtained
with the HRS echelle spectrograph of the Southern African Large Telescope
(SALT). Our constructed velocity curve is based on 19 spectra obtained between
2017 and 2019 years and covers all phases of the binary's orbit. The orbital
period, P=99.252 days, was determined from our spectral data and coincides with
the period determined in previous studies, as well as the system eccentricity
of $e=0.517$. Calculated velocity amplitudes of both components allow us to
determine the masses of both system components M_1 = 1.320 M_sun and M_2 =
1.433 M_sun with the accuracy about of one percent (0.8% and 1.1%),
respectively. Luminosities of both components are presented as L_1 = 4.164
L_sun and L_2 = 6.221 L_sun, and the effective temperatures of both components
were directly evaluated (T_eff = 6545~K and T_eff = 6190~K) together with the
metallicity of the system [Fe/H] = -0.19 dex and its color excess
E(B-V)=0.026~mag. Comparison with evolutionary tracks shows that the system age
is 2.25+/-0.19 Gyr, and both components are on the main sequence and have not
yet passed the turn point. Spectral type is F5V for the hotter component and
F8V for another one.",arxiv,Astrophysics,2020,South Africa
166,166,A search for variable subdwarf B stars in TESS Full Frame Images III. An update on variable targets in both ecliptic hemispheres -- contamination analysis and new sdB pulsators,"S. K. Sahoo, A. S. Baran, H. L. Worters, P. Németh, D. Kilkenny",2023-01-03,http://arxiv.org/pdf/2301.01082v1,"We present an update on the variable star survey performed on the TESS 30 min
Full Frame Image (FFI) data reported by our first two papers in this series.
This update includes a contamination analysis in order to identify false
positives and analysis of the TESS 10 min FFI data collected during Years 3 and
4 of the mission. We clarify the variability status of 2 995 targets
identifying 1 403 variable stars. In addition, we spectroscopically classify 24
pre-filtered targets sampled with the 10 min FFI data and discover 11 new sdB
pulsators. Future follow-up space- and/or ground-based data of variables
reported here, to identify the nature of their variability and reveal
spectroscopic parameters of the stars, would complement this work.",arxiv,Astrophysics,2023,No country is mentioned in the abstract.
167,167,When researchers pay to publish: Results from a survey on APCs in four countries,"Osvaldo Gallardo, Matías Milia, André Luiz Appel, Grip-APC Team, François van Schalkwyk",2024-10-16,http://arxiv.org/pdf/2410.12144v1,"This paper provides an empirical overview of the impact and practices of
paying Article Processing Charges (APCs) by four nationally categorized groups
of researchers in Argentina, Brazil, Mexico, and South Africa. The data was
collected from 13,577 researchers through an online questionnaire. The analysis
compares the practice of publishing in journals that charge APCs across
different dimensions, including country, discipline, gender, and age of the
researchers. The paper also focuses on the maximum amount APC paid and the
methods and strategies researchers use to cover APC payments, such as waivers,
research project funds, payment by coauthors, and the option to publish in
closed access, where possible. Different tendencies were identified among the
different disciplines and the national systems examined. Findings show that
Argentine researchers apply for waivers most frequently and often use personal
funds or international coauthors for APCs, with younger researchers less
involved in APC payments. In contrast, Brazil, South Africa, and Mexico have
more older researchers, yet younger researchers still publish more in APC
journals. South African researchers lead in APC publications, likely due to
better funding access and read and publish agreements. This study lays the
groundwork for further analysis of gender asymmetries, funding access, and
views on the commercial Open Access model of scientific dissemination.",arxiv,Library and Information Science,2024,"Argentina, Brazil, Mexico, South Africa"
168,168,Think Outside the Data: Colonial Biases and Systemic Issues in Automated Moderation Pipelines for Low-Resource Languages,"Farhana Shahid, Mona Elswah, Aditya Vashistha",2025-01-23,http://arxiv.org/pdf/2501.13836v2,"Most social media users come from non-English speaking countries in the
Global South, where much of harmful content appears in local languages. Yet,
current AI-driven moderation systems struggle with low-resource languages
spoken in these regions. This work examines the systemic challenges in building
automated moderation tools for these languages. We conducted semi-structured
interviews with 22 AI experts working on detecting harmful content in four
low-resource languages: Tamil (South Asia), Swahili (East Africa), Maghrebi
Arabic (North Africa), and Quechua (South America). Our findings show that
beyond the well-known data scarcity in local languages, technical issues--such
as outdated machine translation systems, sentiment and toxicity models grounded
in Western values, and unreliable language detection technologies--undermine
moderation efforts. Even with more data, current language models and
preprocessing pipelines--primarily designed for English--struggle with the
morphological richness, linguistic complexity, and code-mixing. As a result,
automated moderation in Tamil, Swahili, Arabic, and Quechua remains fraught
with inaccuracies and blind spots. Based on our findings, we argue that these
limitations are not just technical gaps but reflect deeper structural
inequities that continue to reproduce historical power imbalances. We conclude
by discussing multi-stakeholder approaches to improve automated moderation for
low-resource languages.",arxiv,Computer Science,2025,"South Asia, East Africa, North Africa, South America"
169,169,Behavioural Predictors that Influence Digital Legacy Management Intentions among Individuals in South Africa,"Jordan Young, Ayanda Pekane, Popyeni Kautondokwa",2025-02-25,http://arxiv.org/pdf/2502.18542v1,"An emerging phenomenon, digital legacy management explores the management of
digital data individuals accumulate throughout their lifetime. With the
integration of digital systems and data into people's daily lives, it becomes
crucial to understand the intricacies of managing data to eventually form one's
digital legacy. This can be understood by investigating the significance of
behavioral predictors in shaping digital legacy management.
  The objective of this study is to explore how behavioral predictors influence
the intentions of individuals in South Africa towards managing their digital
legacy. This entailed:
  Investigating the impact of attitude, subjective norms, and perceived
behavioral control on these intentions. Exploring the perceived usefulness of
digital legacy management systems. Understanding the implications of response
cost and task-technology fit on individuals' inclinations towards digital
legacy planning. Data were collected (n = 203 valid responses) from South
African residents using an online survey and analyzed using partial least
squares structural equation analysis (PLS-SEM). Results indicate that
attitudes, peer opinions, personal resources, and skills are significant
positive influences on digital legacy management intention. Recognizing and
understanding these behavioral predictors is key when developing
region-specific and culturally sensitive digital legacy management tools,
awareness campaigns, and policies. Furthermore, it could pave the way for more
tailored strategies, ensuring effective transfer of post-mortem data, reducing
potential conflicts, and providing clarity when dealing with post-mortem data.",arxiv,Psychology,2025,South Africa
170,170,Latest developments in wide-field VLBI,"Jack F. Radcliffe, J. P. McKean, C. Herbé-George, L. Coetzer, T. Matsepane",2025-04-28,http://arxiv.org/pdf/2504.19579v2,"Very Long Baseline Interferometry (VLBI) combines the signals of telescopes
distributed across thousands of kilometres to provide some of the highest
angular resolution images of astrophysical phenomena. Due to computational
expense, typical VLBI observations are restricted to a single target and a
small (few arcseconds) field-of-view per pointing. The technique of wide-field
VLBI was born to enable the targeting of multiple sources and has been
successful in providing new insights into Active Galactic Nuclei, the
interstellar medium, supernovae, gravitational lenses and much more. However,
this technique is still only employed in a few experiments, restricting the
scientific potential of VLBI observations. In this conference proceeding, we
outline new developments in wide-field VLBI, including an end-to-end
correlation and calibration workflow, distributed correlation, and new
calibration routines. These developments aim to enable wide-field VLBI to be a
standard observing mode on all major VLBI arrays.",arxiv,Astronomy,2025,No country is mentioned in the abstract.
